Date,TLT,EMB,AGG,Cash,SPY,EFA,VWO,GLD,DBC
1998-01-21,2276.47,2060.806353,6354.183591,4077.261121,11866.86834,9438.916364,3757.1,568.359375,1546.638
1998-01-22,2262.81,2061.842752,6349.634443999999,4080.373244,11761.671209999999,9438.916364,3709.1,573.828125,1539.451
1998-01-23,2232.62,2050.548113,6313.241267,4083.469856,11744.45653,9438.916364,3664.4,568.359375,1535.442
1998-01-26,2251.03,2061.80045,6334.443542,4092.8509340000005,11736.79825,9438.916364,3686.5,591.3085940000001,1579.547
1998-01-27,2238.16,2076.9445739999996,6319.577579,4092.8509340000005,11855.39189,9438.916364,3720.0,583.7890629999999,1586.549
1998-01-28,2239.47,2071.2338010000003,6322.095857,4092.8509340000005,11962.50908,9438.916364,3721.2,585.9375,1600.523
1998-01-29,2265.53,2093.2308510000003,6353.290008,4092.8509340000005,12027.53863,9438.916364,3725.2,590.8203129999999,1617.483
1998-01-30,2275.65,2116.285452,6363.9317630000005,4105.315627,12035.196909999999,9870.592995,3798.0,595.4101559999999,1589.495
1998-02-02,2262.38,2125.824558,6354.50853,4114.154796,12234.1257,9870.592995,3932.5,588.8671879999999,1588.1029999999998
1998-02-03,2265.81,2121.615507,6357.432981,4117.02456,12325.9373,9870.592995,4004.5,582.7148440000001,1562.65
1998-02-04,2263.14,2128.256924,6358.976442,4119.804962,12310.63171,9870.592995,3955.0,582.3242190000001,1561.415
1998-02-05,2247.15,2129.949004,6345.085297,4122.553379999999,12302.9844,9870.592995,4008.0,583.0078129999999,1565.37
1998-02-06,2251.23,2142.82997,6346.709992,4125.617623,12440.701790000001,9870.592995,4043.4,584.1796879999999,1564.576
1998-02-09,2243.86,2138.832429,6340.5361490000005,4134.051385,12398.62513,9870.592995,4059.2,587.109375,1566.0520000000001
1998-02-10,2248.9,2144.6066539999997,6346.4662880000005,4136.7674,12517.21877,9870.592995,4099.4,584.9609379999999,1558.636
1998-02-11,2268.86,2159.0104920000003,6361.33225,4139.5124,12505.742320000001,9870.592995,4130.2,582.9101559999999,1547.884
1998-02-12,2262.23,2148.07542,6361.007311,4142.3363420000005,12559.29543,9870.592995,4044.2,584.8632809999999,1542.61
1998-02-13,2270.54,2147.800457,6374.817222,4145.238247,12486.607590000001,9870.592995,4001.7,584.2773440000001,1543.3570000000002
1998-02-16,2270.54,2147.800457,6374.817222,4153.962075,12486.607590000001,9870.592995,3957.1,582.421875,1542.0520000000001
1998-02-17,2287.87,2154.166911,6391.714054,4156.888058,12547.81898,9870.592995,4002.1,584.5703129999999,1519.194
1998-02-18,2277.87,2156.0282,6382.29082,4159.808129,12662.58347,9870.592995,4014.4,582.3242190000001,1543.987
1998-02-19,2276.12,2160.7660260000002,6379.447604,4162.669849,12595.63386,9870.592995,4058.7,582.03125,1536.592
1998-02-20,2271.6,2150.888504,6373.517465,4165.693202,12689.36551,9870.592995,4059.7,579.4921879999999,1527.2020000000002
1998-02-23,2261.98,2156.112804,6364.337936999999,4174.349322,12739.10045,9870.592995,4069.3,571.6796879999999,1493.4160000000002
1998-02-24,2243.41,2144.2047850000004,6339.155158,4177.229050999999,12639.63058,9870.592995,4078.3,569.140625,1487.8220000000001
1998-02-25,2255.77,2161.464009,6354.427295,4180.044389,12796.4827,9870.592995,4101.3,570.8007809999999,1493.5439999999999
1998-02-26,2250.66,2164.848171,6350.446790999999,4182.869640999999,12869.170540000001,9870.592995,4150.2,572.265625,1492.72
1998-02-27,2257.59,2174.027709,6359.138911,4185.6681530000005,12869.170540000001,10503.94484,4192.3,580.859375,1503.476
1998-03-02,2231.31,2177.306116,6340.454915,4194.024877000001,12842.3885,10503.94484,4272.2,582.7148440000001,1503.774
1998-03-03,2220.32,2178.8924420000003,6326.4013,4196.786039,12915.076340000001,10503.94484,4230.0,580.078125,1498.09
1998-03-04,2227.38,2180.140351,6330.5442729999995,4199.512225,12830.91205,10503.94484,4194.0,579.5898440000001,1496.652
1998-03-05,2217.4,2165.080832,6327.132413,4202.229827,12712.31841,10503.94484,4111.3,573.6328129999999,1494.14
1998-03-06,2232.93,2178.638629,6343.216897,4205.028627000001,12968.62945,10503.94484,4147.5,575.9765629999999,1482.011
1998-03-09,2248.26,2178.321364,6362.2258329999995,4213.193359000001,12922.72365,10503.94484,4145.3,573.9257809999999,1462.385
1998-03-10,2250.18,2187.902772,6364.094232,4215.927895000001,13045.13545,10503.94484,4184.4,575.0,1463.601
1998-03-11,2257.97,2197.061159,6374.979691,4218.650345,13106.34684,10503.94484,4217.2,574.4140629999999,1461.0710000000001
1998-03-12,2276.94,2206.896379,6391.470349,4221.420785,13159.91092,10503.94484,4227.4,573.9257809999999,1461.921
1998-03-13,2272.76,2209.4345,6388.464663000001,4224.1999829999995,13110.17598,10503.94484,4271.6,575.2929690000001,1449.3229999999999
1998-03-16,2283.92,2219.819646,6401.056052,4232.5085070000005,13251.722520000001,10503.94484,4268.3,574.609375,1412.1170000000002
1998-03-17,2275.31,2208.3346469999997,6393.907392,4235.268335,13289.98101,10503.94484,4268.1,573.828125,1407.537
1998-03-18,2271.55,2222.505824,6389.926889,4237.999793,13339.70497,10503.94484,4258.1,567.1875,1449.195
1998-03-19,2271.09,2233.0178760000003,6388.383428,4240.726046,13374.134320000001,10503.94484,4288.7,569.3359379999999,1441.7879999999998
1998-03-20,2273.69,2237.163474,6394.638505,4243.4122259999995,13489.01951,10503.94484,4324.0,571.09375,1435.546
1998-03-23,2277.6,2250.678969,6397.075548,4251.488558,13458.331530000001,10503.94484,4385.3,572.265625,1512.765
1998-03-24,2279.21,2237.07887,6397.887896,4254.150106,13573.425169999999,10503.94484,4358.7,586.5234379999999,1497.078
1998-03-25,2263.92,2223.203807,6381.803411999999,4256.803997,13523.5476,10503.94484,4372.1,584.4726559999999,1518.2579999999998
1998-03-26,2260.84,2227.116744,6374.1673439999995,4259.425722,13515.87835,10503.94484,4379.0,585.15625,1526.487
1998-03-27,2258.81,2236.803907,6372.298944,4262.035057,13458.331530000001,10503.94484,4405.3,589.7460940000001,1525.116
1998-03-30,2253.42,2225.0650960000003,6367.506093,4269.893263,13450.6513,10503.94484,4367.7,589.5507809999999,1505.723
1998-03-31,2263.25,2225.4035120000003,6380.991064,4272.472746,13496.68876,10827.378420000001,4360.2,587.890625,1476.616
1998-04-01,2274.34,2227.920483,6396.344435,4275.054958,13606.03321,10827.378420000001,4341.7,587.890625,1462.915
1998-04-02,2289.65,2219.206266,6413.647441,4277.638731,13753.7349,10827.378420000001,4327.2,586.5234379999999,1474.3410000000001
1998-04-03,2311.29,2201.90474,6437.367994,4280.215862,13822.79109,10827.378420000001,4292.7,597.65625,1485.4589999999998
1998-04-06,2298.69,2208.6307620000002,6426.969943,4287.881079,13711.53755,10827.378420000001,4333.8,606.640625,1459.527
1998-04-07,2294.75,2222.294314,6423.964257,4290.446759,13619.462630000002,10827.378420000001,4328.0,603.90625,1450.9820000000002
1998-04-08,2278.82,2219.1851149999998,6410.804224,4293.008097,13542.726219999999,10827.378420000001,4335.2,603.125,1464.631
1998-04-09,2283.75,2227.434009,6413.484972,4295.555674,13650.150619999999,10827.378420000001,4353.2,600.8789059999999,1467.345
1998-04-10,2283.75,2227.434009,6413.484972,4297.985899,13650.150619999999,10827.378420000001,4347.1,600.8789059999999,1467.345
1998-04-13,2270.45,2226.947536,6396.913079,4305.171514,13611.78241,10827.378420000001,4357.1,600.8789059999999,1455.219
1998-04-14,2277.35,2235.471393,6407.798538,4307.56,13726.876059999999,10827.378420000001,4370.1,604.4921879999999,1451.516
1998-04-15,2282.92,2237.248078,6417.384239999999,4309.985215,13765.24426,10827.378420000001,4397.5,600.0,1471.475
1998-04-16,2287.12,2230.395151,6422.908205,4312.410615,13604.113159999999,10827.378420000001,4370.3,598.2421879999999,1488.3220000000001
1998-04-17,2287.63,2229.379902,6424.045491,4314.824383,13784.422880000002,10827.378420000001,4369.4,602.4414059999999,1471.1429999999998
1998-04-20,2276.31,2222.526975,6414.216084000001,4322.083086,13780.59374,10827.378420000001,4385.6,600.4882809999999,1468.1070000000002
1998-04-21,2267.04,2227.645519,6404.549147,4324.490427000001,13845.809819999999,10827.378420000001,4404.5,600.5859379999999,1481.362
1998-04-22,2264.38,2228.597315,6404.386677,4326.870674,13884.178030000001,10827.378420000001,4387.6,610.9375,1457.461
1998-04-23,2262.45,2229.274147,6402.761982,4329.293721,13749.89479,10827.378420000001,4355.6,610.8398440000001,1449.8429999999998
1998-04-24,2270.61,2227.4974620000003,6410.154346,4331.655261999999,13604.113159999999,10827.378420000001,4336.7,611.6210940000001,1447.1170000000002
1998-04-27,2239.17,2191.308084,6377.091795,4338.729701,13347.06702,10827.378420000001,4227.8,604.7851559999999,1450.075
